ut_char,uniqueID,auseqence,fullname,surname,givenname,type,pub_year,paper_type,startyear,title,journal,issn,doi
WOS:000234641200006,0_105,1,"WANG, JL",WANG,JL,2,2006,Article,2005,a novel arf-binding protein lzap alters arf regulation of hdm2,biochemical journal,0264-6021,1
WOS:000249514500007,0_105,1,"WANG, JIALIANG",WANG,JIALIANG,1,2007,Article,2005,"lzap, a putative tumor suppressor, selectively inhibits nf-kappa b",cancer cell,1535-6108,1
WOS:000271830200003,0_105,4,"Wang, Jialiang",WANG,JIALIANG,1,2009,Article,2005,targeting interleukin 6 signaling suppresses glioma stem cell survival and tumor growth,stem cells,1066-5099,10.1002/stem.188
WOS:000274496600005,0_105,1,"Wang, Jialiang",WANG,JIALIANG,1,2010,Article,2005,notch promotes radioresistance of glioma stem cells,stem cells,1066-5099,10.1002/stem.261
WOS:000277844800010,0_105,4,"Wang, Jialiang",WANG,JIALIANG,1,2010,Article,2005,integrin alpha 6 regulates glioblastoma stem cells,cell stem cell,1934-5909,10.1016/j.stem.2010.02.018
WOS:000287845300028,0_105,5,"Wang, Jialiang",WANG,JIALIANG,1,2011,Article,2005,using a stem cell-based signature to guide therapeutic selection in cancer,cancer research,0008-5472,10.1158/0008-5472.can-10-1735
WOS:000316996900014,0_105,10,"Wang, Jialiang",WANG,JIALIANG,1,2013,Article,2005,inhibition of bet bromodomain targets genetically diverse glioblastoma,clinical cancer research,1078-0432,10.1158/1078-0432.ccr-12-3066
WOS:000335920000008,0_105,3,"Wang, Jialiang",WANG,JIALIANG,1,2014,Article,2005,"jnk signaling mediates epha2-dependent tumor cell proliferation, motility, and cancer stem cell-like properties in non-small cell lung cancer",cancer research,0008-5472,10.1158/0008-5472.can-13-2136
WOS:000354718200005,0_105,8,"Wang, Jialiang",WANG,JIALIANG,1,2015,Article,2005,critical functions of rhob in support of glioblastoma tumorigenesis,neuro-oncology,1522-8517,10.1093/neuonc/nou228
WOS:000371232900008,0_105,11,"Wang, Jialiang",WANG,JIALIANG,1,2016,Article,2005,insulin-mediated signaling promotes proliferation and survival of glioblastoma through akt activation,neuro-oncology,1522-8517,10.1093/neuonc/nov096
WOS:000373360600024,0_105,7,"Wang, Jialiang",WANG,JIALIANG,1,2016,Article,2005,insr/igf1r pathway mediates resistance to egfr inhibitors in glioblastoma,clinical cancer research,1078-0432,10.1158/1078-0432.ccr-15-1677
WOS:000377273700006,0_105,4,"Wang, Jialiang",WANG,JIALIANG,1,2016,Article,2005,bone morphogenetic protein signaling promotes tumorigenesis in a murine model of high-grade glioma,neuro-oncology,1522-8517,10.1093/neuonc/nov310
WOS:000385395700050,0_105,8,"Wang, Jialiang",WANG,JIALIANG,1,2016,Article,2005,bet bromodomain inhibitors suppress ews-fli1-dependent transcription and the igf1 autocrine mechanism in ewing sarcoma,oncotarget,1949-2553,10.18632/oncotarget.9762
WOS:000399188300019,0_105,12,"Wang, Jialiang",WANG,JIALIANG,1,2017,Article,2005,the mapk pathway regulates intrinsic resistance to bet inhibitors in colorectal cancer,clinical cancer research,1078-0432,10.1158/1078-0432.ccr-16-0453
WOS:000391419200032,0_105,3,"Wang, Jialiang",WANG,JIALIANG,1,2017,Article,2005,"microtubule actin cross-linking factor 1, a novel target in glioblastoma",international journal of oncology,1019-6439,10.3892/ijo.2016.3798
WOS:000417690600016,0_105,10,"Wang, Jialiang",WANG,JIALIANG,1,2017,Article,2005,inhibition of farnesyltransferase potentiates notch-targeted therapy against glioblastoma stem cells,stem cell reports,2213-6711,10.1016/j.stemcr.2017.10.028
WOS:000255499800018,0_118,5,"Zhang, Chen",ZHANG,CHEN,1,2008,Article,2008,a new small molecule inhibitor of estrogen receptor alpha binding to estrogen response elements blocks estrogen-dependent growth of cancer cells,journal of biological chemistry,0021-9258,10.1074/jbc.m709936200
WOS:000306324500007,0_118,4,"Zhang, Chen",ZHANG,CHEN,1,2012,Article,2008,evaluation of a luciferase-based reporter assay as a screen for inhibitors of estrogen-er alpha-induced proliferation of breast cancer cells,journal of biomolecular screening,1087-0571,10.1177/1087057112442960
WOS:000288322800032,0_143,1,"Cui, Meng",CUI,MENG,1,2011,Article,2008,parallel wavefront optimization method for focusing light through random scattering media,optics letters,0146-9592,10.1364/ol.36.000870
WOS:000288860000019,0_143,1,"Cui, Meng",CUI,MENG,1,2011,Article,2008,a high speed wavefront determination method based on spatial frequency modulations for focusing light through random scattering media,optics express,1094-4087,10.1364/oe.19.002989
WOS:000292876500055,0_143,4,"Cui, Meng",CUI,MENG,1,2011,Article,2008,phase resolved interferometric spectral modulation prism for ultrafast pulse measurement and compression,optics express,1094-4087,10.1364/oe.19.012961
WOS:000309523900011,0_143,3,"Cui, Meng",CUI,MENG,1,2012,Article,2008,fluorescence imaging beyond the ballistic regime by ultrasound-pulse-guided digital phase conjugation,nature photonics,1749-4885,10.1038/nphoton.2012.205
WOS:000304881700024,0_143,3,"Cui, Meng",CUI,MENG,1,2012,Article,2008,superpenetration optical microscopy by iterative multiphoton adaptive compensation technique,proceedings of the national academy of sciences of the united states of america,0027-8424,10.1073/pnas.1119590109
WOS:000310448900002,0_143,3,"Cui, Meng",CUI,MENG,1,2012,Article,2008,breaking the spatial resolution barrier via iterative sound-light interaction in deep tissue microscopy,scientific reports,2045-2322,10.1038/srep00748
WOS:000307055800040,0_143,3,"Cui, Meng",CUI,MENG,1,2012,Article,2008,complex wavefront corrections for deep tissue focusing using low coherence backscattered light,optics express,1094-4087,10.1364/oe.20.016532
WOS:000310443400075,0_143,3,"Cui, Meng",CUI,MENG,1,2012,Article,2008,parallel wavefront measurements in ultrasound pulse guided digital phase conjugation,optics express,1094-4087,10.1364/oe.20.024827
WOS:000342757000005,0_143,2,"Cui, Meng",CUI,MENG,1,2014,Article,2008,in vivo fluorescence microscopy via iterative multi-photon adaptive compensation technique,optics express,1094-4087,10.1364/oe.22.023786
WOS:000339927700006,0_143,3,"Cui, Meng",CUI,MENG,1,2014,Article,2008,a self-adaptive method for creating high efficiency communication channels through random scattering media,scientific reports,2045-2322,10.1038/srep05874
WOS:000358656500045,0_143,3,"Cui, Meng",CUI,MENG,1,2015,Article,2008,high-resolution in vivo imaging of mouse brain through the intact skull,proceedings of the national academy of sciences of the united states of america,0027-8424,10.1073/pnas.1505939112
WOS:000351765900044,0_143,2,"Cui, Meng",CUI,MENG,1,2015,Article,2008,numerical study of multi-conjugate large area wavefront correction for deep tissue microscopy,optics express,1094-4087,10.1364/oe.23.007463
WOS:000350878500067,0_143,2,"Cui, Meng",CUI,MENG,1,2015,Article,2008,in vivo neuroimaging through the highly scattering tissue via iterative multi-photon adaptive compensation technique,optics express,1094-4087,10.1364/oe.23.006145
WOS:000369066300087,0_143,3,"Cui, Meng",CUI,MENG,1,2016,Article,2008,in vivo volumetric imaging of biological dynamics in deep tissue via wavefront engineering,optics express,1094-4087,10.1364/oe.24.001214
WOS:000373395700068,0_143,3,"Cui, Meng",CUI,MENG,1,2016,Article,2008,multicolor multiphoton in vivo imaging flow cytometry,optics express,1094-4087,10.1364/oe.24.006126
WOS:000385416500041,0_143,3,"Cui, Meng",CUI,MENG,1,2016,Article,2008,motion quantification during multi-photon functional imaging in behaving animals,biomedical optics express,2156-7085,10.1364/boe.7.003686
